200 416847900 17_Mar_2021 15_05 0p59 ignored.gif,1,0.96,0.00,0.00
200 416474700 13_Mar_2021 07_25 0p46 LOOOOONG.gif,0,0.48,0.00,0.48
200 410448900 02_Jan_2021 13_35 1p32 ignored.gif,1,0.87,0.00,0.00
200 414125400 14_Feb_2021 02_50 0p44 ignored - Menor.gif,0,0.51,0.00,0.41
200 416472600 13_Mar_2021 06_50 0p56 LOOOOONG.gif,0,0.57,0.32,0.12
200 424458300 13_Jun_2021 17_05 0p39 LOOOOONG.gif,0,0.69,0.12,0.19
200 416471100 13_Mar_2021 06_25 0p68 ignored.gif,0,0.00,0.79,0.13
200 416475000 13_Mar_2021 07_30 0p46 LOOOOONG.gif,0,0.44,0.11,0.44
200 413631000 08_Feb_2021 09_30 2p11 ignored.gif,1,0.90,0.00,0.00
200 410435100 02_Jan_2021 09_45 0p95 ignored.gif,0,0.55,0.00,0.41
200 424457400 13_Jun_2021 16_50 0p44 LOOOOONG.gif,1,0.37,0.18,0.46
200 424457700 13_Jun_2021 16_55 0p43 LOOOOONG.gif,0,0.75,0.11,0.13
200 424458900 13_Jun_2021 17_15 0p44 LOOOOONG.gif,0,0.70,0.00,0.23
200 410494800 03_Jan_2021 02_20 1p17 ignored.gif,0,0.50,0.00,0.46
200 416470800 13_Mar_2021 06_20 0p72 zero.gif,0,0.00,0.84,0.00
200 416471400 13_Mar_2021 06_30 0p65 ignored.gif,1,0.21,0.73,0.00
200 422524200 22_May_2021 07_50 0p55 LOOOOONG.gif,0,0.00,0.94,0.00
200 416473500 13_Mar_2021 07_05 0p47 LOOOOONG.gif,0,0.00,0.00,0.90
200 422523600 22_May_2021 07_40 0p68 LOOOOONG.gif,0,0.00,0.95,0.00
200 416849400 17_Mar_2021 15_30 0p63 ignored.gif,1,0.96,0.00,0.00
200 413894100 11_Feb_2021 10_35 0p62 ignored.gif,0,0.74,0.00,0.19
200 424454700 13_Jun_2021 16_05 0p43 zero.gif,0,0.53,0.14,0.32
200 424456500 13_Jun_2021 16_35 0p46 LOOOOONG.gif,0,0.49,0.11,0.40
200 416848500 17_Mar_2021 15_15 0p62 LOOOOONG.gif,1,0.91,0.00,0.00
200 422523900 22_May_2021 07_45 0p61 LOOOOONG.gif,0,0.00,0.96,0.00
200 413100900 02_Feb_2021 06_15 0p99 ignored.gif,0,0.54,0.18,0.28
200 410750700 06_Jan_2021 01_25 1p44 LOOOOONG.gif,0,0.71,0.00,0.22
200 424455000 13_Jun_2021 16_10 0p42 zero.gif,0,0.58,0.15,0.28
200 422523000 22_May_2021 07_30 0p74 LOOOOONG.gif,0,0.00,0.96,0.00
200 422524800 22_May_2021 08_00 0p54 ignored.gif,0,0.00,0.90,0.00
200 416474400 13_Mar_2021 07_20 0p49 LOOOOONG.gif,1,0.19,0.00,0.71
200 416849100 17_Mar_2021 15_25 0p63 LOOOOONG.gif,1,0.91,0.00,0.00
200 416474100 13_Mar_2021 07_15 0p48 LOOOOONG.gif,0,0.00,0.00,0.94
200 424458000 13_Jun_2021 17_00 0p40 LOOOOONG.gif,1,0.18,0.20,0.62
200 424455300 13_Jun_2021 16_15 0p41 ignored.gif,0,0.59,0.00,0.33
200 416471700 13_Mar_2021 06_35 0p69 ignored.gif,0,0.00,0.43,0.54
200 422523300 22_May_2021 07_35 0p70 LOOOOONG.gif,0,0.00,0.98,0.00
200 424455600 13_Jun_2021 16_20 0p41 LOOOOONG.gif,1,0.33,0.15,0.52
200 416472900 13_Mar_2021 06_55 0p57 LOOOOONG.gif,1,0.24,0.41,0.35
200 424456200 13_Jun_2021 16_30 0p43 LOOOOONG.gif,0,0.65,0.00,0.27
200 413669700 08_Feb_2021 20_15 1p32 ignored.gif,0,0.68,0.13,0.20
200 424456800 13_Jun_2021 16_40 0p44 LOOOOONG.gif,0,0.62,0.00,0.28
200 422525100 22_May_2021 08_05 0p48 ignored.gif,0,0.00,0.93,0.00
200 416475300 13_Mar_2021 07_35 0p46 ignored.gif,1,0.38,0.00,0.59
200 422524500 22_May_2021 07_55 0p56 ignored.gif,0,0.00,0.97,0.00
200 422522400 22_May_2021 07_20 0p82 LOOOOONG.gif,0,0.00,0.97,0.00
200 416472000 13_Mar_2021 06_40 0p61 LOOOOONG.gif,0,0.00,0.18,0.78
200 424455900 13_Jun_2021 16_25 0p42 ignored.gif,0,0.76,0.00,0.18
200 422522700 22_May_2021 07_25 0p79 ignored.gif,0,0.00,0.89,0.00
200 416470500 13_Mar_2021 06_15 0p68 zero.gif,1,0.36,0.60,0.00
200 416472300 13_Mar_2021 06_45 0p56 LOOOOONG.gif,0,0.00,0.18,0.75
200 424458600 13_Jun_2021 17_10 0p39 LOOOOONG.gif,0,0.58,0.00,0.35
200 422525400 22_May_2021 08_10 0p46 ignored.gif,0,0.00,0.96,0.00
200 416848200 17_Mar_2021 15_10 0p61 ignored.gif,1,0.91,0.00,0.00
200 416848800 17_Mar_2021 15_20 0p63 LOOOOONG.gif,1,0.89,0.00,0.00
200 424457100 13_Jun_2021 16_45 0p45 LOOOOONG.gif,1,0.18,0.12,0.71
200 416473800 13_Mar_2021 07_10 0p49 LOOOOONG.gif,1,0.36,0.13,0.51
200 411419100 13_Jan_2021 19_05 1p24 LOOOOONG.gif,1,0.92,0.00,0.00
